黑话,解释
虚商,虚拟运营商，是指从拥有移动通信网络的基础电信运营商那里购买通信服务，重新包装成自有品牌并销售给用户的电信服务
虚商电话卡,是指170和171开头的虚拟运营商号码
猫池,是将相当数量的Modem使用特殊的拨号请求接入设备连接在一起，可以同时接受多个用户拨号连接的设备
62码,用户在登录微信的时候，微信通过检测该加密文件判断用户是否需要登录验证（主要判断用户是否更换设备登录）。62数据就是通过软件对上面提到的加密文件进行解密，生成的62开头一共344位由数字和字母组成的数据
63码,在抖音的安装目录下找到Cookies.binarycookies，这是一个二进制文件，把里面的字符串转化为2进制就是以63开头的二进制，可以用来免验证登录抖音
串码,即IMEI号，即除了账号密码之外，附带串码，手机型号等信息的账号。登录时需要修改相应的硬件信息，然后登陆，保持注册与登录设备环境一致。
二次接码号,接码号是指卖家先通过接码平台注册账号，并将接码手机号卖给客户，客户登录时再向卖家索要验证码或者卖家附带一条接码链接，客户登录时可通过链接获取验证码短信
成品号,在大多数电商场景下，购买/注册账号的目的是为了领券/抢券，然后代下单或者撸实物，但是由于手机号资源或者抢券困难，购买成品号可直接变现
扫号,之所以会出现扫号是因为很多黑产使用的账号都是通过接码平台注册的，而接码平台的手机号是公开的，这就意味着其他人也可以使用手机号+验证码的方式登录。因此，当接码平台的新号资源耗尽时，如果单纯只是需要账号，可以通过遍历接码平台登录，然后重置密码的方式获得新的账号
站街号,是指利用周边的人位置信息或者假冒当地的营销号进行传播广告的社交号码
草、草料、料、饵料,主要指银行卡账号、密码，持卡人身份证号及绑定手机号四大类信息（又称CVV四大件）包含公民个人信息
内料、外料,指境内卡的四大件和外卡的四大件
轨道料,指通过改装POS机得到的银行卡信息，这种信息一般非常精准
下料,即非法搜集CVV四大件信息
洗料,即将诈骗资金转账、套现、洗白
洗码,指当资金不能直接流通，帮助进行资金对冲的人
洗拦截料,通过植入木马病毒拦截用户手机验证码完成套现，是洗料的一种方法
刷货,指通过复制银行卡的方式来实施盗刷的过程
料站,进行CVV卡料售卖的地方，一般存在于暗网上，它只是一个交易平台，成员间通过比特币进行交易，它的背后由成千上万的料主构成，料主专门提供新鲜的CVV卡料信息
测活,由于料站存在一定比例的死料，会员等级越高，越先拿到金额较高的新鲜的料。因此在进行刷料之前，必须先测试料能不能用，称为测活
测额,测额即测试可用额度，可用额度的多少决定了这张料的用途，只有当拿到高额度的CVV料才能覆盖买料的成本
刷料,即使用信用卡在线支付系统进行支付，用户在使用互联网购买某种商品或某种服务时，通过自己的信用卡或借记卡向商家支付费用的转账支付系统，用户将消费金额从自己的帐户转入卖家的银行帐户
水房,专门的洗钱集团
声佬,专门负责打电话、发信息、邮寄等工作的人，算是业务员
刷机佬,负责刷POS机，把钱刷到网上结算中心
接数佬,负责联系“声佬”和“刷机佬”。骗子为了躲避打击，内部分工很精细，而且一般单线联系，不能越级
卡佬,负责买卖各种银行卡
车手,通过到ATM机取诈骗所得赃款进而获得提成的人，因通常骑摩托车、电动车等交通工具作案，故称车手
链接手,帮诈骗的人提供链接（或刷单链接，或支付途径）的人
信封号产业链,就是QQ号盗取、销赃、并利用获利的产业链
取信,一组QQ用户名和密码称为一个“信”，一个信封就是一万个（或者一千个）被盗的QQ号和密码。通过各种手段盗取QQ号码和密码，以万为单位保存成信息文本。拿到这些信息被称为：”取信“
洗信,通过一些工具，将信里面有价值的信息（QQ币、有价值的游戏虚拟装备、QQ靓号等）筛选出来的过程称为“洗信”。有专门的“洗信人”或者是“洗信工作室”来完成
群发信,用来给被盗号的每一个好友发消息
广告信,在QQ空间内植入广告
忽悠信,黑市上的买家登陆被盗的QQ号给好友发一些诈骗消息
老信,最后被榨净的QQ号还会卖给黑客用来编写密码词典，或者邮件群发者群发广告
套码,用低费率行业的POS替换了自己本该高费率的代码，以减少手续费
纯白户,没有任何信用卡账户、银行贷款及个人征信记录，就是说一次都没申请过信用卡和贷款，个人征信报告是空白的
白户,有申请信用卡或贷款记录，但是信用卡申请失败，时间达半年以上
裸申,申请信用卡的时候不需要资料证明资产、征信状况等，多是银行邀请办卡，是身份背景的一种象征
主持,指在语音聊天群中专门维持秩序、分配任务的人
老师,指专门负责外宣人员培训，并为小白解答刷单流程的人
干饭、稀饭,高返利和低返利
挂鸟,指发布刷单诈骗信息的平台
垫蓝,当“马”上钩后，团伙成员会根据被害人穿着打扮、言行举止等情况现场确定诈骗金额。考虑到被害人身上通常不会携带大量现金，此时会出现一个“好心人”为被害人垫付药费，也就是“垫篮”
狗推,在各种平台用各种各样的套路通过欺骗的方式赚钱，然后拿提成
色粉,通过发布带有色情或色情擦边的内容吸引来的粉丝
散键盘,指没有在机房工作，独立“代聊”的自由人
出台,指小姐提供的色情上门、外出服务
菠菜,博彩的意思
埋雷,在微信红包赌博群中，庄家一般会先宣布规则，比如抢到的红包金额最小的发100元红包，或者红包金额尾数是6的发100元红包。庄家一般会通过外挂软件来控制谁抢到这个红包，这个过程叫埋雷
